2016-06-12 9:06:10 - PHP Notice:  Undefined variable: shopping_cart in /home/qqm/workspace/oc/catalog/view/theme/mobile/template/product/product.tpl on line 7
2016-06-12 9:06:59 - PHP Notice:  Undefined variable: shopping_cart in /home/qqm/workspace/oc/catalog/view/theme/mobile/template/product/product.tpl on line 7
2016-06-12 9:09:53 - PHP Notice:  Undefined variable: shopping_cart in /home/qqm/workspace/oc/catalog/view/theme/mobile/template/product/product.tpl on line 7
2016-06-12 9:10:01 - PHP Notice:  Undefined variable: shopping_cart in /home/qqm/workspace/oc/catalog/view/theme/mobile/template/product/product.tpl on line 7
2016-06-12 9:10:06 - PHP Notice:  Undefined variable: shopping_cart in /home/qqm/workspace/oc/catalog/view/theme/mobile/template/product/product.tpl on line 7
2016-06-12 9:10:12 - PHP Notice:  Undefined variable: shopping_cart in /home/qqm/workspace/oc/catalog/view/theme/mobile/template/product/product.tpl on line 7
2016-06-13 10:56:32 - PHP Notice:  Undefined index: popup in /home/qqm/workspace/oc/catalog/view/theme/mobile/template/checkout/cart.tpl on line 46
2016-06-14 2:21:06 - PHP Notice:  Undefined offset: 2 in /home/qqm/workspace/oc/catalog/view/theme/mobile/template/checkout/cart.tpl on line 12
2016-06-14 8:48:57 - PHP Notice:  Undefined variable: logout in /home/qqm/workspace/oc/catalog/view/theme/mobile/template/account/account.tpl on line 52
2016-06-14 8:48:57 - PHP Notice:  Undefined variable: text_logout in /home/qqm/workspace/oc/catalog/view/theme/mobile/template/account/account.tpl on line 52
2016-06-14 9:14:53 - PHP Notice:  Undefined variable: product in /home/qqm/workspace/oc/catalog/view/theme/mobile/template/account/wishlist.tpl on line 14
2016-06-14 9:14:53 - PHP Notice:  Undefined variable: product in /home/qqm/workspace/oc/catalog/view/theme/mobile/template/account/wishlist.tpl on line 20
2016-06-14 9:14:53 - PHP Notice:  Undefined variable: product in /home/qqm/workspace/oc/catalog/view/theme/mobile/template/account/wishlist.tpl on line 20
2016-06-14 9:14:53 - PHP Notice:  Undefined variable: product in /home/qqm/workspace/oc/catalog/view/theme/mobile/template/account/wishlist.tpl on line 21
2016-06-14 9:14:53 - PHP Notice:  Undefined variable: product in /home/qqm/workspace/oc/catalog/view/theme/mobile/template/account/wishlist.tpl on line 24
2016-06-14 9:14:53 - PHP Notice:  Undefined variable: product in /home/qqm/workspace/oc/catalog/view/theme/mobile/template/account/wishlist.tpl on line 34
2016-06-16 7:41:13 - PHP Notice:  Indirect modification of overloaded property ControllerModuleWeixinLogin::$data has no effect in /home/qqm/workspace/oc/public/admin/controller/module/weixin_login.php on line 18
2016-06-16 7:41:13 - PHP Notice:  Indirect modification of overloaded property ControllerModuleWeixinLogin::$data has no effect in /home/qqm/workspace/oc/public/admin/controller/module/weixin_login.php on line 19
2016-06-16 7:41:13 - PHP Notice:  Indirect modification of overloaded property ControllerModuleWeixinLogin::$data has no effect in /home/qqm/workspace/oc/public/admin/controller/module/weixin_login.php on line 21
2016-06-16 7:41:13 - PHP Notice:  Indirect modification of overloaded property ControllerModuleWeixinLogin::$data has no effect in /home/qqm/workspace/oc/public/admin/controller/module/weixin_login.php on line 22
2016-06-16 7:41:13 - PHP Notice:  Indirect modification of overloaded property ControllerModuleWeixinLogin::$data has no effect in /home/qqm/workspace/oc/public/admin/controller/module/weixin_login.php on line 24
2016-06-16 7:41:13 - PHP Notice:  Indirect modification of overloaded property ControllerModuleWeixinLogin::$data has no effect in /home/qqm/workspace/oc/public/admin/controller/module/weixin_login.php on line 25
2016-06-16 7:41:13 - PHP Notice:  Indirect modification of overloaded property ControllerModuleWeixinLogin::$data has no effect in /home/qqm/workspace/oc/public/admin/controller/module/weixin_login.php on line 26
2016-06-16 7:41:13 - PHP Notice:  Indirect modification of overloaded property ControllerModuleWeixinLogin::$data has no effect in /home/qqm/workspace/oc/public/admin/controller/module/weixin_login.php on line 28
2016-06-16 7:41:13 - PHP Notice:  Indirect modification of overloaded property ControllerModuleWeixinLogin::$data has no effect in /home/qqm/workspace/oc/public/admin/controller/module/weixin_login.php on line 29
2016-06-16 7:41:13 - PHP Notice:  Indirect modification of overloaded property ControllerModuleWeixinLogin::$data has no effect in /home/qqm/workspace/oc/public/admin/controller/module/weixin_login.php on line 30
2016-06-16 7:41:13 - PHP Notice:  Indirect modification of overloaded property ControllerModuleWeixinLogin::$data has no effect in /home/qqm/workspace/oc/public/admin/controller/module/weixin_login.php on line 31
2016-06-16 7:41:13 - PHP Notice:  Indirect modification of overloaded property ControllerModuleWeixinLogin::$data has no effect in /home/qqm/workspace/oc/public/admin/controller/module/weixin_login.php on line 36
2016-06-16 7:41:13 - PHP Notice:  Indirect modification of overloaded property ControllerModuleWeixinLogin::$data has no effect in /home/qqm/workspace/oc/public/admin/controller/module/weixin_login.php on line 41
2016-06-16 7:41:13 - PHP Notice:  Indirect modification of overloaded property ControllerModuleWeixinLogin::$data has no effect in /home/qqm/workspace/oc/public/admin/controller/module/weixin_login.php on line 43
2016-06-16 7:41:13 - PHP Notice:  Indirect modification of overloaded property ControllerModuleWeixinLogin::$data has no effect in /home/qqm/workspace/oc/public/admin/controller/module/weixin_login.php on line 49
2016-06-16 7:41:13 - PHP Notice:  Indirect modification of overloaded property ControllerModuleWeixinLogin::$data has no effect in /home/qqm/workspace/oc/public/admin/controller/module/weixin_login.php on line 55
2016-06-16 7:41:13 - PHP Notice:  Indirect modification of overloaded property ControllerModuleWeixinLogin::$data has no effect in /home/qqm/workspace/oc/public/admin/controller/module/weixin_login.php on line 61
2016-06-16 7:41:13 - PHP Notice:  Indirect modification of overloaded property ControllerModuleWeixinLogin::$data has no effect in /home/qqm/workspace/oc/public/admin/controller/module/weixin_login.php on line 63
2016-06-16 7:41:13 - PHP Notice:  Indirect modification of overloaded property ControllerModuleWeixinLogin::$data has no effect in /home/qqm/workspace/oc/public/admin/controller/module/weixin_login.php on line 69
2016-06-16 7:41:13 - PHP Notice:  Indirect modification of overloaded property ControllerModuleWeixinLogin::$data has no effect in /home/qqm/workspace/oc/public/admin/controller/module/weixin_login.php on line 75
2016-06-16 7:45:25 - PHP Notice:  Indirect modification of overloaded property ControllerModuleWeixinLogin::$data has no effect in /home/qqm/workspace/oc/public/admin/controller/module/weixin_login.php on line 18
2016-06-16 7:45:25 - PHP Notice:  Indirect modification of overloaded property ControllerModuleWeixinLogin::$data has no effect in /home/qqm/workspace/oc/public/admin/controller/module/weixin_login.php on line 19
2016-06-16 7:45:25 - PHP Notice:  Indirect modification of overloaded property ControllerModuleWeixinLogin::$data has no effect in /home/qqm/workspace/oc/public/admin/controller/module/weixin_login.php on line 21
2016-06-16 7:45:25 - PHP Notice:  Indirect modification of overloaded property ControllerModuleWeixinLogin::$data has no effect in /home/qqm/workspace/oc/public/admin/controller/module/weixin_login.php on line 22
2016-06-16 7:45:25 - PHP Notice:  Indirect modification of overloaded property ControllerModuleWeixinLogin::$data has no effect in /home/qqm/workspace/oc/public/admin/controller/module/weixin_login.php on line 24
2016-06-16 7:45:25 - PHP Notice:  Indirect modification of overloaded property ControllerModuleWeixinLogin::$data has no effect in /home/qqm/workspace/oc/public/admin/controller/module/weixin_login.php on line 25
2016-06-16 7:45:25 - PHP Notice:  Indirect modification of overloaded property ControllerModuleWeixinLogin::$data has no effect in /home/qqm/workspace/oc/public/admin/controller/module/weixin_login.php on line 26
2016-06-16 7:45:25 - PHP Notice:  Indirect modification of overloaded property ControllerModuleWeixinLogin::$data has no effect in /home/qqm/workspace/oc/public/admin/controller/module/weixin_login.php on line 28
2016-06-16 7:45:25 - PHP Notice:  Indirect modification of overloaded property ControllerModuleWeixinLogin::$data has no effect in /home/qqm/workspace/oc/public/admin/controller/module/weixin_login.php on line 29
2016-06-16 7:45:25 - PHP Notice:  Indirect modification of overloaded property ControllerModuleWeixinLogin::$data has no effect in /home/qqm/workspace/oc/public/admin/controller/module/weixin_login.php on line 30
